prompt_len,gen_len,ttft_ms,tpot_ms,tokens_s,peak_mem_mb,kv_est_mb,kv_pkv_prefill_mb,kv_pkv_final_mb,,KV cache占显存开销比例,,,,,,,,,,,,gen_len=32,,gen_len=64,,gen_len=128
64,32,60.05,53.9,18.8,5065.4,9.75,6.5,9.75,,0.19%,,,,,,,,,,,64,0.001924823,64,0.002566431,64,0.003849647
64,64,66.38,47.17,21.2,5065.4,13,6.5,13,,0.26%,,,,,,,,,,,128,0.003165667,128,0.0037988,128,0.005065067
64,128,57.02,51.91,19.3,5065.4,19.5,6.5,19.5,,0.38%,,,,,,,,,,,256,0.005546391,256,0.006162656,256,0.007395187
128,32,62.14,49.16,20.3,5133.2,16.25,13,16.25,,0.32%,,,,,,,,,,,512,0.009956928,512,0.01054263,512,0.011714033
128,64,70.8,54.82,18.3,5133.2,19.5,13,19.5,,0.38%,,,,,,,,,,,1024,0.017558652,1024,0.018090732,1024,0.019154893
128,128,65.3,53.74,18.8,5133.2,26,13,26,,0.51%,,,,,,,,,,,2048,0.029293083,2048,0.029743746,2048,0.030645072
256,32,89.72,46.89,21.3,5273.7,29.25,26,29.25,,0.55%,,,,,,,,,,,,,,,,
256,64,91.7,51.97,19.3,5273.7,32.5,26,32.5,,0.62%,,,,,,,,,,,,,,,,
256,128,90.71,49.64,20.3,5273.7,39,26,39,,0.74%,,,,,,,,,,,,,,,,
512,32,182.01,54.82,18.5,5548.9,55.25,52,55.25,,1.00%,,,,,,,,,,,,,,,,
512,64,181.23,50.23,20.1,5548.9,58.5,52,58.5,,1.05%,,,,,,,,,,,,,,,,
512,128,184.41,49.77,20.1,5548.9,65,52,65,,1.17%,,,,,,,,,,,,,,,,
1024,32,433.78,51.82,19.5,6108.1,107.25,104,107.25,,1.76%,,,,,,,,,,,,,,,,
1024,64,437.15,47.49,21.1,6108.1,110.5,104,110.5,,1.81%,,,,,,,,,,,,,,,,
1024,128,437.31,50.54,19.8,6108.1,117,104,117,,1.92%,,,,,,,,,,,,,,,,
2048,32,1096.18,53.97,18.7,7211.6,211.25,208,211.25,,2.93%,,,,,,,,,,,,,,,,
2048,64,1106.62,54.02,18.7,7211.6,214.5,208,214.5,,2.97%,,,,,,,,,,,,,,,,
2048,128,1107.2,52.61,19,7211.6,221,208,221,,3.06%,,,,,,,,,,,,,,,,
,,,,,103022.7,1365,75.47450549,,,1.20%,,,,,,,,,,,,,,,,
