prompt_len,gen_len,ttft_ms,tpot_ms,tokens_s,peak_mem_mb,kv_est_mb,kv_pkv_prefill_mb,kv_pkv_final_mb
64,32,65.81,55.34,18.4,6275.7,9.75,6.5,9.75
64,64,56.3,46.4,21.5,6275.7,13.0,6.5,13.0
64,128,57.11,51.64,19.4,6275.7,19.5,6.5,19.5
128,32,60.52,46.84,21.4,6343.5,16.25,13.0,16.25
128,64,71.55,51.07,19.7,6343.5,19.5,13.0,19.5
128,128,69.44,50.89,19.7,6343.5,26.0,13.0,26.0
256,32,88.64,49.04,20.4,6484.4,29.25,26.0,29.25
256,64,87.97,52.73,19.1,6484.4,32.5,26.0,32.5
256,128,86.27,49.53,20.2,6484.4,39.0,26.0,39.0
512,32,170.86,54.96,18.5,6759.2,55.25,52.0,55.25
512,64,170.46,49.98,20.2,6759.2,58.5,52.0,58.5
512,128,172.09,53.33,18.9,6759.2,65.0,52.0,65.0
512,32,170.68,55.98,18.1,6759.2,55.25,52.0,55.25
512,128,169.52,49.49,20.3,6759.2,65.0,52.0,65.0
1024,32,400.24,55.95,18.1,7322.5,107.25,104.0,107.25
1024,128,403.42,49.42,20.3,7322.5,117.0,104.0,117.0
2048,32,1010.71,53.43,18.9,8425.0,211.25,208.0,211.25
2048,128,1006.26,52.66,19.0,8425.0,221.0,208.0,221.0
