prompt_len,gen_len,ttft_ms,tpot_ms,tokens_s,peak_mem_mb,kv_est_mb,kv_pkv_prefill_mb,kv_pkv_final_mb
64,32,60.05,53.9,18.8,5065.4,9.75,6.5,9.75
64,64,66.38,47.17,21.2,5065.4,13.0,6.5,13.0
64,128,57.02,51.91,19.3,5065.4,19.5,6.5,19.5
128,32,62.14,49.16,20.3,5133.2,16.25,13.0,16.25
128,64,70.8,54.82,18.3,5133.2,19.5,13.0,19.5
128,128,65.3,53.74,18.8,5133.2,26.0,13.0,26.0
256,32,89.72,46.89,21.3,5273.7,29.25,26.0,29.25
256,64,91.7,51.97,19.3,5273.7,32.5,26.0,32.5
256,128,90.71,49.64,20.3,5273.7,39.0,26.0,39.0
512,32,182.01,54.82,18.5,5548.9,55.25,52.0,55.25
512,64,181.23,50.23,20.1,5548.9,58.5,52.0,58.5
512,128,184.41,49.77,20.1,5548.9,65.0,52.0,65.0
1024,32,433.78,51.82,19.5,6108.1,107.25,104.0,107.25
1024,64,437.15,47.49,21.1,6108.1,110.5,104.0,110.5
1024,128,437.31,50.54,19.8,6108.1,117.0,104.0,117.0
2048,32,1096.18,53.97,18.7,7211.6,211.25,208.0,211.25
2048,64,1106.62,54.02,18.7,7211.6,214.5,208.0,214.5
2048,128,1107.2,52.61,19.0,7211.6,221.0,208.0,221.0
